group,category,name,footprint
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Sweet potato, raw",0.30392412
"fruits, vegetables, pulses and oilseeds",vegetables,"Swiss chard, raw",0.54275358
drinks,soft drinks,"Syrup (mint, strawberries flavouredetc.), with sugar diluted in water",0.10203293
culinary aids and various ingredients,various ingredients,Syrup for canned fruits in syrup,0.72893229
"fruits, vegetables, pulses and oilseeds",fruits,"Tamarind, mature fruit, pulp, raw",0.48961605
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Taro, tuber, raw",0.62996196
culinary aids and various ingredients,herbs,"Tarragon, fresh",0.68984205
drinks,soft drinks,"Tea, brewed, without sugar",0.039161353
"fruits, vegetables, pulses and oilseeds",vegetables,"Thinly-shredded or diced vegetables, frozen, raw",0.7269832
starters and mixed dishes,mixed dishes,"Tofu, plain",0.66453615
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato coulis, canned (tomato puree semi-reduced 11%)",0.66989659
drinks,soft drinks,"Tomato juice, pure juice (average)",0.49791655
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato puree, canned",0.66989659
culinary aids and various ingredients,various ingredients,Tomato sauce for pizza base,0.71829418
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato, cherry, raw",0.58155648
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato, green, raw",0.70339467
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato, in season, raw",0.58155648
"fruits, vegetables, pulses and oilseeds",vegetables,"Tomato, raw",0.70339467
drinks,soft drinks,"Tonic drink, with sugar and artificial sweetener(s)",0.51122506
drinks,soft drinks,"Tonic drink, with sugar",0.51122506
drinks,soft drinks,"Tonic drink, without sugar, with artificial sweetener(s)",0.51122506
culinary aids and various ingredients,culinary aids,Topping sauce for pizza,0.71829418
"fruits, vegetables, pulses and oilseeds",vegetables,"Turnip cabbage, raw",0.45812589
"fruits, vegetables, pulses and oilseeds",vegetables,"Turnip, frozen, raw",0.73471505
"fruits, vegetables, pulses and oilseeds",vegetables,"Turnip, peeled, raw",0.3643211
baby food,small salted pots and infant dishes,"Vegetable dish for baby, with starch, from 6-8 months",0.75385415
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Ware potato, boiled/cooked in water, peeled",0.64971087
drinks,water,"Water, bottled",0.26707462
drinks,water,"Water, mineral, carbonated ou non-carbonated, CAROLA",0.26707462
drinks,water,"Water, mineral, non-carbonated, EDEN",0.26707462
drinks,water,"Water, mineral, non-carbonated, MONT-BLANC",0.26707462
"fruits, vegetables, pulses and oilseeds",fruits,"Watermelon, pulp, raw",0.64146382
culinary aids and various ingredients,various ingredients,Wheat bran,0.3287981
cereal products,"pasta, rice and cereals","Wheat bulgur, cooked, unsalted",0.48323825
cereal products,flour and pie dough,"Wheat flour, self-raising",0.71878192
cereal products,flour and pie dough,"Wheat flour, type 110",0.71867177
cereal products,flour and pie dough,"Wheat flour, type 150",0.71878192
cereal products,flour and pie dough,"Wheat flour, type 55 (for bread)",0.71878192
cereal products,flour and pie dough,"Wheat flour, type 55 (for pastry)",0.71878192
cereal products,flour and pie dough,"Wheat flour, type 65",0.71878192
cereal products,flour and pie dough,"Wheat flour, type 80",0.71911716
starters and mixed dishes,mixed dishes,"White bean stew, canned",0.7602421
"fruits, vegetables, pulses and oilseeds",vegetables,"White cabbage, raw",0.66082048
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Yam or Indian potato, peeled, boiled/cooked in water",0.73276483
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Yam or Indian potato, peeled, raw",0.44728479
